City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Yaan,NG,7.38,8.57,22.59,96,100,3.57,light rain
219,Kasane,BW,-17.82,25.15,12.62,48,0,2.0,clear sky
220,Avarua,CK,-21.21,-159.78,22.0,56,98,3.1,overcast clouds
221,Shieli,KZ,44.17,66.75,23.69,31,20,4.43,few clouds
222,Altea,ES,38.6,-0.05,27.78,56,31,3.8,scattered clouds
223,Ancud,CL,-41.87,-73.82,8.33,93,90,5.1,overcast clouds
224,Marzuq,YE,14.4,46.47,25.9,56,100,1.24,light rain
225,Ostrovnoy,RU,68.05,39.51,10.22,84,57,6.34,broken clouds
226,Carutapera,BR,-1.2,-46.02,24.35,91,90,2.74,light rain
227,Ongandjera,NA,-17.88,15.07,16.34,30,0,5.0,clear sky
228,Bathsheba,BB,13.22,-59.52,29.0,70,40,6.2,scattered clouds
229,Kerchevskiy,RU,59.95,56.29,16.85,96,100,4.13,moderate rain
230,Lerwick,GB,60.15,-1.15,12.0,87,100,4.6,overcast clouds
231,Ca Mau,VN,9.18,105.15,26.17,87,100,2.95,light rain
232,Kuala Lipis,MY,4.18,102.05,23.13,93,100,0.18,overcast clouds
233,Blind River,CA,46.18,-82.96,25.0,50,1,4.6,clear sky
234,Buin,CL,-33.73,-70.75,14.0,50,75,1.5,broken clouds
235,Velventos,GR,40.25,22.06,27.78,53,0,2.6,clear sky
236,San Cristobal,VE,7.77,-72.22,31.0,48,40,10.8,scattered clouds
237,Paro,BT,27.43,89.41,16.87,70,100,0.18,light rain
238,Axim,GH,4.87,-2.24,23.35,88,25,3.14,scattered clouds
239,Awbari,LY,26.59,12.78,29.72,22,0,4.75,clear sky
240,Valdivia,CL,-39.81,-73.25,9.0,100,75,2.1,light rain
241,Jonesboro,US,35.84,-90.7,33.33,59,40,8.7,scattered clouds
242,Potosi,BO,-19.58,-65.75,7.32,37,18,2.08,few clouds
243,Fort Saint James,CA,54.43,-124.25,29.99,30,19,0.58,few clouds
244,Sorland,NO,67.67,12.69,14.0,93,79,2.1,broken clouds
245,Sitka,US,57.05,-135.33,19.0,72,1,4.1,clear sky
246,Katima Mulilo,NA,-17.5,24.27,10.0,57,0,0.5,clear sky
247,Compostela,PH,7.67,126.09,25.42,82,100,0.54,overcast clouds
248,Orlik,RU,52.52,99.83,12.05,78,2,0.97,clear sky
249,Nanortalik,GL,60.14,-45.24,6.65,86,100,4.13,light rain
250,Aksu,CN,41.12,80.26,23.89,22,65,2.41,broken clouds
251,Quatre Cocos,MU,-20.21,57.76,22.0,83,75,2.1,shower rain
252,Seoul,KR,37.57,126.98,25.0,83,20,1.14,few clouds
