City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Waterfoot,GB,20.0,scattered clouds,53.69,-2.25,MOUNTAIN VIEW INN
361,Kalmunai,LK,26.43,overcast clouds,7.42,81.82,VS Villa
362,Singapore,SG,28.0,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
364,Sao Joao Da Barra,BR,20.39,light rain,-21.64,-41.05,Pousada Porto De Canoas
367,Saint-Philippe,RE,20.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
368,Baoding,CN,27.31,clear sky,38.85,115.49,Xiu Lan Hotel
370,Luwuk,ID,24.64,heavy intensity rain,-0.95,122.79,Hotel Santika Luwuk
377,Orillia,CA,25.0,light rain,44.61,-79.42,Knights Inn Orillia
378,Sur,OM,32.21,scattered clouds,22.57,59.53,Sur Plaza Hotel
379,Kavieng,PG,29.08,overcast clouds,-2.57,150.8,Nusa Island Retreat
381,Kashiwazaki,JP,22.78,moderate rain,37.37,138.55,Hotel Sunshine
382,Puerto Del Rosario,ES,23.0,overcast clouds,28.5,-13.86,Hotel JM Puerto del Rosario
383,Paragominas,BR,25.92,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
384,Praia Da Vitoria,PT,22.0,broken clouds,38.73,-27.07,Hotel Branco I
386,Ordu,TR,24.0,scattered clouds,40.91,37.68,Orencik Koyu Muhtarligi
387,College,US,25.0,smoke,64.86,-147.8,Pike's Waterfront Lodge
388,Cabangahan,PH,27.12,light rain,9.08,122.95,Centralle District Resort
390,Tecoanapa,MX,30.81,broken clouds,16.52,-98.75,Hotel Manglares
392,La Ronge,CA,23.0,broken clouds,55.1,-105.28,Northland Motor Hotel
398,Lompoc,US,22.22,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
401,Cedral,MX,25.96,overcast clouds,23.8,-100.73,Hotel Rocio
402,Marsa Matruh,EG,25.53,clear sky,31.35,27.25,Beau Site
404,Digapahandi,IN,27.22,overcast clouds,19.37,84.58,Pradeep jewellers
405,Anzio,IT,26.11,clear sky,41.49,12.62,Hotel Lido Garda
406,Condado,CU,32.0,few clouds,21.88,-79.84,Casa Guachinango
